full_date,date_key,day_of_week,is_weekend,month,day,year,quarter,week_of_year
2024-09-25,20240925,2,0,9,25,2024,3,39
2023-04-14,20230414,4,0,4,14,2023,2,15
2024-10-25,20241025,4,0,10,25,2024,4,43
2023-11-29,20231129,2,0,11,29,2023,4,48
2023-08-06,20230806,6,1,8,6,2023,3,32
2024-08-21,20240821,2,0,8,21,2024,3,34
2023-02-18,20230218,5,1,2,18,2023,1,7
2024-04-24,20240424,2,0,4,24,2024,2,17
2024-10-18,20241018,4,0,10,18,2024,4,42
2023-07-02,20230702,6,1,7,2,2023,3,27
2023-06-15,20230615,3,0,6,15,2023,2,24
2023-03-01,20230301,2,0,3,1,2023,1,9
2024-11-06,20241106,2,0,11,6,2024,4,45
2023-07-25,20230725,1,0,7,25,2023,3,30
2023-12-13,20231213,2,0,12,13,2023,4,50
2023-12-05,20231205,1,0,12,5,2023,4,49
2023-09-06,20230906,2,0,9,6,2023,3,36
2023-02-25,20230225,5,1,2,25,2023,1,8
2023-05-24,20230524,2,0,5,24,2023,2,21
2024-10-29,20241029,1,0,10,29,2024,4,44
2024-01-24,20240124,2,0,1,24,2024,1,4
2024-05-13,20240513,0,0,5,13,2024,2,20
2023-02-28,20230228,1,0,2,28,2023,1,9
2023-07-10,20230710,0,0,7,10,2023,3,28
2023-02-10,20230210,4,0,2,10,2023,1,6
2023-11-18,20231118,5,1,11,18,2023,4,46
2024-09-28,20240928,5,1,9,28,2024,3,39
2023-10-19,20231019,3,0,10,19,2023,4,42
2024-07-21,20240721,6,1,7,21,2024,3,30
2023-10-16,20231016,0,0,10,16,2023,4,42
2023-02-22,20230222,2,0,2,22,2023,1,8
2024-03-28,20240328,3,0,3,28,2024,1,13
2024-01-14,20240114,6,1,1,14,2024,1,3
2024-11-29,20241129,4,0,11,29,2024,4,48
2023-06-16,20230616,4,0,6,16,2023,2,24
2023-06-13,20230613,1,0,6,13,2023,2,24
2023-08-22,20230822,1,0,8,22,2023,3,34
2024-06-05,20240605,2,0,6,5,2024,2,23
2024-09-02,20240902,0,0,9,2,2024,3,36
2023-09-18,20230918,0,0,9,18,2023,3,38
2023-03-13,20230313,0,0,3,13,2023,1,11
2024-12-14,20241214,5,1,12,14,2024,4,50
2023-11-05,20231105,6,1,11,5,2023,4,45
2024-03-28,20240328,3,0,3,28,2024,1,13
2023-10-18,20231018,2,0,10,18,2023,4,42
2023-08-19,20230819,5,1,8,19,2023,3,33
2024-10-06,20241006,6,1,10,6,2024,4,41
2023-04-20,20230420,3,0,4,20,2023,2,16
2023-05-05,20230505,4,0,5,5,2023,2,18
2024-05-31,20240531,4,0,5,31,2024,2,22
2023-09-11,20230911,0,0,9,11,2023,3,37
2023-08-29,20230829,1,0,8,29,2023,3,35
2023-03-07,20230307,1,0,3,7,2023,1,10
2024-08-21,20240821,2,0,8,21,2024,3,34
2024-07-13,20240713,5,1,7,13,2024,3,28
2024-04-23,20240423,1,0,4,23,2024,2,17
2024-03-14,20240314,3,0,3,14,2024,1,11
2024-01-24,20240124,2,0,1,24,2024,1,4
2023-03-12,20230312,6,1,3,12,2023,1,11
2023-05-10,20230510,2,0,5,10,2023,2,19
2023-04-28,20230428,4,0,4,28,2023,2,17
2023-07-23,20230723,6,1,7,23,2023,3,30
2024-06-29,20240629,5,1,6,29,2024,2,26
2024-01-06,20240106,5,1,1,6,2024,1,1
2024-07-05,20240705,4,0,7,5,2024,3,27
2023-09-07,20230907,3,0,9,7,2023,3,36
2023-09-22,20230922,4,0,9,22,2023,3,38
2024-02-21,20240221,2,0,2,21,2024,1,8
2023-08-15,20230815,1,0,8,15,2023,3,33
2024-07-17,20240717,2,0,7,17,2024,3,29
2024-07-02,20240702,1,0,7,2,2024,3,27
2023-04-13,20230413,3,0,4,13,2023,2,15
2023-02-25,20230225,5,1,2,25,2023,1,8
2024-04-25,20240425,3,0,4,25,2024,2,17
2023-03-08,20230308,2,0,3,8,2023,1,10
2023-09-12,20230912,1,0,9,12,2023,3,37
2023-11-01,20231101,2,0,11,1,2023,4,44
2024-10-02,20241002,2,0,10,2,2024,4,40
2024-04-06,20240406,5,1,4,6,2024,2,14
2023-08-28,20230828,0,0,8,28,2023,3,35
2023-05-26,20230526,4,0,5,26,2023,2,21
2024-04-24,20240424,2,0,4,24,2024,2,17
2023-02-10,20230210,4,0,2,10,2023,1,6
2024-11-19,20241119,1,0,11,19,2024,4,47
