product_id,product_name,category,supplier_id,spoilage_sensitivity,supplier_score
BAK_DON_743,Donuts,Bakery,SUPPLIER_03,0.5,9
MEA_SAU_338,Sausages,Meat,SUPPLIER_12,0.9,6
BAK_BAG_799,Bagels,Bakery,SUPPLIER_08,0.5,9
PHA_VAC_801,Vaccines,Pharmaceuticals,SUPPLIER_11,0.85,6
REA_FRE_422,Fresh Pasta,Ready_to_Eat,SUPPLIER_15,0.9,6
PHA_EYE_369,Eye Drops,Pharmaceuticals,SUPPLIER_12,0.85,6
BEV_FRE_873,Fresh Juice,Beverages,SUPPLIER_06,0.4,8
FRO_FRO_710,Frozen Dinners,Frozen_Meals,SUPPLIER_01,0.3,7
PHA_ANT_887,Antibiotics,Pharmaceuticals,SUPPLIER_14,0.85,6
BAK_CRO_880,Croissants,Bakery,SUPPLIER_10,0.5,8
SEA_TUN_880,Tuna,Seafood,SUPPLIER_20,0.95,9
DEL_SAL_345,Salami,Deli,SUPPLIER_03,0.75,9
PHA_VAC_231,Vaccines,Pharmaceuticals,SUPPLIER_09,0.85,8
PHA_BIO_806,Biologics,Pharmaceuticals,SUPPLIER_12,0.85,6
PRO_TOM_165,Tomatoes,Produce,SUPPLIER_08,0.6,9
PRO_LET_132,Lettuce,Produce,SUPPLIER_16,0.6,10
REA_SOU_584,Soups,Ready_to_Eat,SUPPLIER_04,0.9,9
FRO_FRO_984,Frozen Dinners,Frozen_Meals,SUPPLIER_11,0.3,6
PRO_BER_559,Berries,Produce,SUPPLIER_15,0.6,6
PHA_INS_151,Insulin,Pharmaceuticals,SUPPLIER_08,0.85,9
FRO_PIZ_268,Pizza,Frozen_Meals,SUPPLIER_15,0.3,6
PHA_BIO_835,Biologics,Pharmaceuticals,SUPPLIER_07,0.85,9
DAI_COT_421,Cottage Cheese,Dairy,SUPPLIER_17,0.7,9
PHA_INS_971,Insulin,Pharmaceuticals,SUPPLIER_08,0.85,9
PRO_BER_708,Berries,Produce,SUPPLIER_19,0.6,10
PRO_AVO_833,Avocados,Produce,SUPPLIER_05,0.6,10
MEA_BEE_569,Beef,Meat,SUPPLIER_07,0.9,9
MEA_CHI_478,Chicken,Meat,SUPPLIER_10,0.9,8
PHA_INS_783,Insulin,Pharmaceuticals,SUPPLIER_05,0.85,10
PHA_VAC_378,Vaccines,Pharmaceuticals,SUPPLIER_11,0.85,6
PHA_PRO_357,Probiotics,Pharmaceuticals,SUPPLIER_09,0.85,8
BAK_PAS_859,Pastries,Bakery,SUPPLIER_18,0.5,8
SEA_CRA_136,Crab,Seafood,SUPPLIER_14,0.95,6
DAI_YOG_315,Yogurt,Dairy,SUPPLIER_18,0.7,8
SEA_SHR_985,Shrimp,Seafood,SUPPLIER_06,0.95,8
FRO_ICE_373,Ice Cream,Frozen_Meals,SUPPLIER_16,0.3,10
DEL_SAL_940,Salami,Deli,SUPPLIER_07,0.75,9
BAK_CAK_756,Cakes,Bakery,SUPPLIER_04,0.5,9
BAK_BRE_211,Bread,Bakery,SUPPLIER_11,0.5,6
FRO_FRO_294,Frozen Desserts,Frozen_Meals,SUPPLIER_01,0.3,7
PRO_BAN_541,Bananas,Produce,SUPPLIER_04,0.6,9
