record_id,product_id,store_id,supplier_id,transaction_date,expiration_date,units_sold,units_wasted,revenue,waste_cost,profit,base_price,cost_price,selling_price
1,BAK_DON_743,STORE_046,SUPPLIER_03,2024-09-25,2024-09-29,138,20,358.8,24.4,166.04,2.6,1.22,2.6
2,MEA_SAU_338,STORE_030,SUPPLIER_12,2023-04-14,2023-04-21,251,102,2070.75,426.36,595.21,8.25,4.18,8.25
3,BAK_BAG_799,STORE_035,SUPPLIER_08,2024-10-25,2024-10-27,483,0,618.24,0,-405.72,4.12,2.12,1.28
4,PHA_VAC_801,STORE_003,SUPPLIER_11,2023-11-29,2024-02-17,477,0,99960.12,0,57988.89,209.56,87.99,209.56
5,REA_FRE_422,STORE_042,SUPPLIER_15,2023-08-06,2023-08-09,391,0,2064.48,0,879.75,6.86,3.03,5.28
6,PHA_EYE_369,STORE_026,SUPPLIER_12,2024-08-21,2025-07-06,0,270,0,22914.9,-22914.9,121.37,84.87,121.37
7,BEV_FRE_873,STORE_041,SUPPLIER_06,2023-02-18,2023-02-27,41,1,341.94,4.39,157.56,8.34,4.39,8.34
8,FRO_FRO_710,STORE_036,SUPPLIER_01,2024-04-24,2025-02-16,0,463,0,2990.98,-2990.98,14.88,6.46,14.88
9,PHA_ANT_887,STORE_019,SUPPLIER_14,2024-10-18,2025-10-17,379,0,34758.09,0,20822.26,91.71,36.77,91.71
10,BAK_CRO_880,STORE_041,SUPPLIER_10,2023-07-02,2023-07-08,111,0,1436.34,0,642.69,12.94,7.15,12.94
11,SEA_TUN_880,STORE_001,SUPPLIER_20,2023-06-15,2023-06-19,257,228,5137.43,1849.08,1204.08,19.99,8.11,19.99
12,DEL_SAL_345,STORE_006,SUPPLIER_03,2023-03-01,2023-03-05,279,120,3975.75,1102.8,308.94,14.25,9.19,14.25
13,PHA_VAC_231,STORE_011,SUPPLIER_09,2024-11-06,2025-11-17,118,0,24935.76,0,6330.7,270.92,157.67,211.32
14,PHA_BIO_806,STORE_043,SUPPLIER_12,2023-07-25,2024-05-18,0,71,0,8968.01,-8968.01,227.48,126.31,227.48
15,PRO_TOM_165,STORE_038,SUPPLIER_08,2023-12-13,2023-12-16,40,0,34,0,8.4,1.05,0.64,0.85
16,PRO_LET_132,STORE_018,SUPPLIER_16,2023-12-05,2023-12-10,488,0,1220,0,683.2,2.5,1.1,2.5
17,REA_SOU_584,STORE_013,SUPPLIER_04,2023-09-06,2023-09-09,226,0,452,0,-296.06,6.26,3.31,2
18,FRO_FRO_984,STORE_026,SUPPLIER_11,2023-02-25,2023-06-12,103,5,1731.43,36.4,945.19,16.81,7.28,16.81
19,PRO_BER_559,STORE_018,SUPPLIER_15,2023-05-24,2023-06-08,236,0,649,0,210.04,2.75,1.86,2.75
20,PHA_INS_151,STORE_006,SUPPLIER_08,2024-10-29,2026-06-01,119,0,11383.54,0,5171.74,95.66,52.2,95.66
21,FRO_PIZ_268,STORE_017,SUPPLIER_15,2024-01-24,2024-03-13,384,0,2499.84,0,499.2,8.56,5.21,6.51
22,PHA_BIO_835,STORE_019,SUPPLIER_07,2024-05-13,2024-11-05,200,87,96964,24200.79,17129.21,484.82,278.17,484.82
23,DAI_COT_421,STORE_031,SUPPLIER_17,2023-02-28,2023-03-04,20,19,163.4,118.94,-80.74,11.19,6.26,8.17
24,PHA_INS_971,STORE_044,SUPPLIER_08,2023-07-10,2023-10-14,301,0,63459.83,0,20148.94,210.83,143.89,210.83
25,PRO_BER_708,STORE_043,SUPPLIER_19,2023-02-10,2023-02-14,98,45,359.66,110.25,9.31,4.96,2.45,3.67
26,PRO_AVO_833,STORE_026,SUPPLIER_05,2023-11-18,2023-11-26,171,0,974.7,0,497.61,5.7,2.79,5.7
27,MEA_BEE_569,STORE_035,SUPPLIER_07,2024-09-28,2024-10-02,131,57,1980.72,379.05,730.52,15.12,6.65,15.12
28,MEA_CHI_478,STORE_035,SUPPLIER_10,2023-10-19,2023-10-23,158,186,1388.82,2232,-2739.18,17.23,12,8.79
29,PHA_INS_783,STORE_007,SUPPLIER_05,2024-07-21,2025-03-30,0,390,0,37264.5,-37264.5,143.27,95.55,143.27
30,PHA_VAC_378,STORE_046,SUPPLIER_11,2023-10-16,2025-06-03,0,145,0,9735.3,-9735.3,113.74,67.14,113.74
31,PHA_PRO_357,STORE_028,SUPPLIER_09,2023-02-22,2023-05-17,76,0,2764.88,0,1382.44,36.38,18.19,36.38
32,BAK_PAS_859,STORE_028,SUPPLIER_18,2024-03-28,2024-04-01,343,119,555.66,107.1,139.86,2.13,0.9,1.62
33,SEA_CRA_136,STORE_010,SUPPLIER_14,2024-01-14,2024-01-18,329,141,4184.88,882.66,1242.68,12.72,6.26,12.72
34,DAI_YOG_315,STORE_023,SUPPLIER_18,2024-11-29,2024-12-11,228,99,2471.52,560.34,620.7,10.84,5.66,10.84
35,SEA_SHR_985,STORE_002,SUPPLIER_06,2023-06-16,2023-06-18,486,0,7197.66,0,-1360.8,35.25,17.61,14.81
36,FRO_ICE_373,STORE_003,SUPPLIER_16,2023-06-13,2023-09-12,160,85,1209.6,414.8,14,7.56,4.88,7.56
37,DEL_SAL_940,STORE_043,SUPPLIER_07,2023-08-22,2023-08-28,35,10,335.3,46.3,126.95,9.58,4.63,9.58
38,BAK_CAK_756,STORE_002,SUPPLIER_04,2024-06-05,2024-06-09,307,0,4113.8,0,2145.93,13.4,6.41,13.4
39,BAK_BRE_211,STORE_047,SUPPLIER_11,2024-09-02,2024-09-06,34,35,187.68,186.55,-180.09,7.67,5.33,5.52
40,FRO_FRO_294,STORE_028,SUPPLIER_01,2023-09-18,2023-11-17,361,0,4447.52,0,1592.01,12.32,7.91,12.32
41,PRO_BAN_541,STORE_021,SUPPLIER_04,2023-03-13,2023-03-22,121,47,730.84,139.12,233.56,6.04,2.96,6.04
42,FRO_FRO_512,STORE_009,SUPPLIER_07,2024-12-14,2025-05-04,101,255,1083.73,1866.6,-1522.19,10.73,7.32,10.73
43,SEA_CRA_682,STORE_020,SUPPLIER_10,2023-11-05,2023-11-10,272,48,3519.68,481.44,310.08,15.78,10.03,12.94
44,DEL_PRE_552,STORE_033,SUPPLIER_16,2024-03-28,2024-04-09,270,116,4079.7,1205.24,69.16,15.11,10.39,15.11
45,SEA_LOB_186,STORE_041,SUPPLIER_20,2023-10-18,2023-10-22,167,227,2010.68,2989.59,-3178.3,20.4,13.17,12.04
46,PRO_AVO_417,STORE_002,SUPPLIER_02,2023-08-19,2023-08-27,445,0,1205.95,0,551.8,2.71,1.47,2.71
47,MEA_LAM_524,STORE_045,SUPPLIER_13,2024-10-06,2024-10-10,172,173,2151.72,1219.65,-280.53,14.89,7.05,12.51
48,DAI_SOU_981,STORE_015,SUPPLIER_06,2023-04-20,2023-05-13,247,0,2479.88,0,970.71,10.04,6.11,10.04
49,DAI_CRE_355,STORE_030,SUPPLIER_17,2023-05-05,2023-05-23,496,0,5892.48,0,2484.96,11.88,6.87,11.88
